,Courrier
Servientrega,533164
servientrega,113030
472,72823
Blu Logistics,52923
mattel_servientrega,49019
Dimark_Servientrega,23465
oster-servientrega,19111
temporal_Servientrega,18448
redicol_servientrega,15075
A&A,14519
SinFronteras_Servientrega,14442
472 Contra Entrega,10058
Recogida en tienda C.C. Hayuelos,9215
Recogida en tienda C.C. Centro mayor,9150
servientrega-distroller,8750
Multimp-servientrega,7975
Recogida en tienda Galerias,7886
Recogida en tienda Calle 93,6659
Recogida en tiendas Cedritos,5192
Recogida en tienda C.C. Bulevar Niza ,5129
RTBulevarNiza,5109
Toral-servientrega,4551
conair_Servientrega,4179
RTHayuelos,4078
Recogida en tienda Pepe Ganga Pepe Sierra,3820
Servientrega Contra Entrega,3759
C.C. Bulevar Niza,3757
RTCentroMayor,3497
RTGalerias,3491
Recogida en tienda,3310
Avantplast-Servientrega,2962
Carvajal_Servientrega,2901
Plasticos_Servientrega,2776
RTCedritos,2774
RTCalle93,2700
C.C. Hayuelos,2323
RTBabyGangaPepeSierra,2281
Mabe,2140
Gama_servientrega,2085
Recogida en tiendas Cedritos - 27,1987
Cedritos,1922
C.C. Centro Mayor,1907
Recogida en tienda Pepe Sierra,1841
RTPepeGangaPepeSierra,1815
Tramontina_Servientrega,1737
Recogida en tienda Baby Ganga Pepe Sierra,1646
Magefesa-servientrega,1545
Calle 93,1454
Recogida en tienda C.C. Bulevar Niza,1388
Valmar_servientrega,1310
Recogida en tienda Outlet Toberin,1221
LPG_servientrega,1188
RTOutletToberin,933
Devir_servientrega,926
vtex:fob_1c41c6f,908
Telary_Servientrega,887
preventa-servientrega,870
Petmax_Servientrega,859
Superfuds_Servientrega,828
Meico_Servientrega,825
Pepe Ganga Express Pepe Sierra,683
Entrega Express - 66 Medellin,648
Entrega Express - 38 Cali,629
3jMedia_Servientrega,624
Century_servientrega,579
kitchenaid-servientrega,572
2020_servientrega,554
Americana_Servientrega,550
Press_Servientrega,544
Steren_Servientrega,535
Coordinadora,535
Len-Servientrega,526
TVNov_servientrega,469
Miller_servientrega,460
Cuperz_servientrega,425
Recogida en tienda Baby Ganga Calle 93,420
Entrega Express,400
Pepe Sierra,356
Napsnacks_Servientrega,341
Xtremtech_Servientrega,339
Beysal_servientrega,335
Fantasia_Servientrega,288
Coordinadora Pepeganga,285
Entrega Express - 57 Barranquilla,283
Stilotex,282
EBaby-Servientrega,235
Entrega Express - 20 Bogota,227
Entrega Express - 14 Bucaramanga,226
athletic,214
Entrega Express - 18 Bogota,208
Purina_Servientrega,206
Entrega Express - 27 Bogota,195
ViaTropical_Servientrega,194
Premium_Servientrega,184
Entrega Express - 54 Cartagena,171
Dko_Servientrega,142
Venecia_Servientrega,128
Coordinadora Cali,116
RTBabyGangaCalle93,115
AndreToys_Servientrega,111
Deko_servientrega,102
Bodycology_Servientrega,93
Yamaha_Servientrega,89
472 Pago en efectivo Contraentrega,85
"Blu Logistics, Blu Logistics",84
Baby Ganga Calle 93,74
Entrega Express - 9 Bogota,74
Entrega Express - 22 Bogota,72
preventa-Freidora,68
Fantastic-servientrega,65
Ecotu_Servientrega,57
Babyayu-Servientrega,56
Entrega Express - 88 Bogota,53
Inmarcesible_servientrega,49
Entrega Express - 35,49
Polcol_servientrega,44
Baby Ganga Pepe Sierra,42
Entrega Express 72 Ibague,37
Tumatera_Servientrega,35
Ecomi-Servientrega,35
Entrega Express - 89 Bogota,35
"472, 472",33
Entrega Express - 83 Bogota,33
RTCentroMayorr,32
Concepto3D_Servientrega,30
Unoxuno_Servientrega,29
Medela_Servientrega,25
preventa-Lol,21
Transportadora,20
Distribeaute_Servientrega,15
Entrega Express - 62 Pereira,15
Teepeeland_Servientrega,13
Actum_Servientrega,12
Makarena_Servientrega,12
"oster-servientrega, Servientrega",9
LPG_ds,9
preventa-FIFA,9
Principal,8
cedi_servientrega,8
Entrega Express - 85 Bogota,7
"Servientrega, Servientrega",7
"Dimark_Servientrega, Servientrega",6
Altipal_Servientrega,5
preventastilotex-servientrega,5
Contexport_Servientrega,3
"RTCalle93, RTCalle93",3
Entrega Express Cali,3
"472 Contra Entrega, 472 Contra Entrega",3
Sueco_Servientrega,2
"RTGalerias, RTGalerias",2
TCC,2
vtex:fob_Dafiti,2
Entrega Express - 24,2
Entrega Express - 38,2
"Multimp-servientrega, Servientrega",1
"redicol_servientrega, Servientrega",1
SportFitness_Servientrega,1
"Servientrega, Toral-servientrega",1
Recogida en tienda C.C. Ciudad Tunal,1
"RTBulevarNiza, RTBulevarNiza",1
"RTCedritos, RTCedritos",1
"LPG_servientrega, Servientrega",1
Entrega Express - 13,1
Prueba Oster,1
Samsonite_Servientrega,1
"Recogida en tiendas Cedritos, Recogida en tiendas Cedritos",1
Entrega Express - 76,1
"RTCentroMayor, RTCentroMayor",1
Entrega Express - 36,1
RTTunal,1
vueltapp,1
Hipalantro_Servientrega,1
"Recogida en tienda C.C. Bulevar Niza , Recogida en tienda C.C. Bulevar Niza ",1
Entrega Express - 7,1
"Recogida en tienda Calle 93, Recogida en tienda Calle 93",1
Coordinadora Paquete Cali,1
"RTBabyGangaPepeSierra, RTBabyGangaPepeSierra",1
"Recogida en tienda C.C. Hayuelos, Recogida en tienda C.C. Hayuelos",1
"472, 472, 472",1
Espumados_Servientrega,1
"Entrega Express - 18 Bogota, Entrega Express - 88 Bogota",1
"Argument 1 of function ""join"" must be an array of ""strings"" query: $join(shippingData.logisticsInfo[itemIndex=0].deliveryIds.courierName, ', ')",1
"RTHayuelos, RTHayuelos",1
