,,Installments
1,,846597
2,,69443
3,,45482
6,,30897
4,,28104
12,,26263
5,,13816
36,,13642
24,,6162
10,,5713
18,,3231
"1, 1",1,2981
8,,2161
7,,1665
0,,912
9,,796
15,,544
20,,455
11,,308
16,,300
14,,297
13,,261
"1, 1, 1",1,173
48,,166
17,,145
19,,138
"1, 2",,123
"2, 1",,113
"2, 2",2,107
"3, 3",3,88
30,,77
"12, 12",12,75
"1, 3",,74
22,,72
"36, 36",36,69
"6, 6",,67
35,,59
"5, 5",,56
26,,56
"3, 1",,44
"4, 4",,44
21,,35
"1, 4",4,31
"24, 24",24,30
28,,29
"6, 1",6,29
25,,28
"12, 1",12,27
"4, 3",,25
23,,23
34,,23
"5, 1",,23
27,,21
"4, 2",,20
"1, 36",,20
"4, 1",,20
"6, 18",,20
"1, 6",,19
"36, 24",,17
32,,17
"1, 1, 1, 1, 1",,16
"5, 6",,15
"10, 10",,15
"12, 4",,13
"6, 24",,13
31,,12
"2, 3",,12
"36, 1",,12
"1, 12",,11
"8, 8",,10
"6, 10",,10
33,,9
"6, 4",,9
"16, 1",,9
"2, 4",,9
29,,8
"3, 2",,8
"1, 20, 1",,7
"8, 1",,7
"2, 6",,6
"12, 5",,6
"3, 4",,6
"5, 2",,6
"4, 5",,5
"18, 1",,5
"1, 11",,5
"24, 18",,5
"12, 36",,5
"6, 5",,5
"6, 1, 1",,4
"9, 1",,4
"16, 12",,4
"4, 6",,4
"2, 10",,4
"2, 12",,3
"1, 1, 1, 1, 1, 1, 1, 1",,3
"24, 12",,3
"24, 1",,3
"5, 4",,3
"3, 6",,3
"7, 6",,3
"6, 2",,3
"17, 33",,3
"1, 5",,3
"5, 12",,2
"10, 1",,2
"18, 18",,2
"6, 12",,2
"11, 11",,2
"4, 18",,1
"1, 36, 1",,1
"2, 7",,1
"3, 5",,1
"9, 9",,1
"1, 18",,1
"36, 4",,1
"6, 3",,1
"1, 24",,1
"2, 1, 1, 1",,1
"7, 8",,1
"29, 1",,1
"15, 14",,1
