,,UtmSource,
DG,,67418,"21,739%"
Google,,49206,"15,866%"
Icommarketing,,39016,"12,580%"
fb,,36703,"11,835%"
emBlue,,33831,"10,909%"
VTEXCEM,,11973,"3,861%"
hotsale,,10578,"3,411%"
PPGG,,7427,"2,395%"
newsletter,,5936,"1,914%"
Barilliance,,4768,"1,537%"
google,,4031,"1,300%"
barilliance,,3941,"1,271%"
ecom,,3515,"1,133%"
PepeGanga,,2603,"0,839%"
FB,,2583,"0,833%"
EC,,2208,"0,712%"
BR,,1584,"0,511%"
OT,,1517,"0,489%"
cupon.com.co,,1497,"0,483%"
search,,1355,"0,437%"
Criteo,,1328,"0,428%"
PepeGangaMobile,,1185,"0,382%"
CCE,,1162,"0,375%"
Amnet,,1107,"0,357%"
amnet,,1076,"0,347%"
"Emb,emBlue",,923,"0,298%"
loencontraste,,831,"0,268%"
time_one,,670,"0,216%"
Cyberlunes_CCCE,,642,"0,207%"
atl,,601,"0,194%"
sm,,572,"0,184%"
Stilotex,,476,"0,153%"
webpush,,448,"0,144%"
Serach,,405,"0,131%"
Ecom,,383,"0,123%"
tienda83,,383,"0,123%"
cuponomia,,366,"0,118%"
instagram,,365,"0,118%"
Disney,,332,"0,107%"
tiendeo,,314,"0,101%"
facebook,,283,"0,091%"
ig,,273,"0,088%"
Tiendeo,,259,"0,084%"
"Mail,emBlue",,252,"0,081%"
dp,,218,"0,070%"
msn,,199,"0,064%"
tienda88,,198,"0,064%"
email,,183,"0,059%"
emailmycart,,176,"0,057%"
Facebook,,174,"0,056%"
ET,,170,"0,055%"
Emb,,169,"0,054%"
GDN,,152,"0,049%"
REVIEWS,,146,"0,047%"
sms,,145,"0,047%"
Mabe,,127,"0,041%"
eFB,,127,"0,041%"
admotion,,118,"0,038%"
Hot_Sale,,114,"0,037%"
jvlat,,112,"0,036%"
FACEBOOK,,90,"0,029%"
"Mail-ecm,emBlue",,84,"0,027%"
Ecomm_FB,,83,"0,027%"
ClicTag,,61,"0,020%"
browser,,59,"0,019%"
St-Mb,,59,"0,019%"
FB-ecm,,50,"0,016%"
giftList,,45,"0,015%"
"ecm,emBlue",,41,"0,013%"
tienda22,,40,"0,013%"
"carters,emBlue",,38,"0,012%"
MSN,,36,"0,012%"
Ecomm,,35,"0,011%"
leads,,31,"0,010%"
Hasbro,,28,"0,009%"
Nintendo,,25,"0,008%"
in,,24,"0,008%"
AmbitionAds,,24,"0,008%"
KidsCorp,,24,"0,008%"
aniversario,,23,"0,007%"
PayU,,22,"0,007%"
IG,,22,"0,007%"
CET,,21,"0,007%"
"DG,taboola",,20,"0,006%"
ElTiempo,,20,"0,006%"
"Cyberlunes_CCCE,Cyberlunes_CCCE",,20,"0,006%"
GG,,19,"0,006%"
MercadoLibre,,18,"0,006%"
SEM,,18,"0,006%"
Ads Avent,,16,"0,005%"
tienda89,,15,"0,005%"
LaW,,14,"0,005%"
CaracolRadio,,13,"0,004%"
storelocator-web-productpage,,11,"0,004%"
go,,10,"0,003%"
PayUco,,8,"0,003%"
Radioacktiva,,7,"0,002%"
Tropicana,,6,"0,002%"
emailing,,6,"0,002%"
tienda9,,6,"0,002%"
MERCADOPAGO,,5,"0,002%"
cajamagica,,5,"0,002%"
cyberlunes.com,,5,"0,002%"
ecm,,5,"0,002%"
my-baby-club-membresia,,5,"0,002%"
"KidsCorp,KidsCorp",,4,"0,001%"
"fb,fb",,4,"0,001%"
aniverario,,4,"0,001%"
ppgg,,4,"0,001%"
Instagram,,4,"0,001%"
gdn,,3,"0,001%"
yt,,3,"0,001%"
"MercadoLibre,MercadoLibre",,2,"0,001%"
TAPTAP,,2,"0,001%"
tienda35,,2,"0,001%"
Ecm,,2,"0,001%"
Unknown List,,2,"0,001%"
XAXIS,,2,"0,001%"
"time_one,time_one",,2,"0,001%"
PEPEGANGA,,2,"0,001%"
St,,2,"0,001%"
et,,2,"0,001%"
Ofertia,,2,"0,001%"
TapTap,,1,"0,000%"
DBM,,1,"0,000%"
emBlue - Campañas septiembre pruebas,,1,"0,000%"
Pregnancy+,,1,"0,000%"
auto,,1,"0,000%"
Oxigeno,,1,"0,000%"
descuento,,1,"0,000%"
Shazam,,1,"0,000%"
persiana-precio-especial,,1,"0,000%"
OnlinePartners,,1,"0,000%"
emBlue Email Marketing emBlue_Copiadecom73CumplePPGG-e,,1,"0,000%"
SUNMEDIA,,1,"0,000%"
